Publication,Scenario,Category,Product,Flow,Unit,Year,Value
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Industry,EJ,2020,35
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Industry,EJ,2030,47
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Industry,EJ,2040,62
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Industry,EJ,2050,74
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Industry,EJ,2019,31
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Industry,EJ,2020,31
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Industry,EJ,2030,31
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Industry,EJ,2040,27
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Industry,EJ,2050,23
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Industry,EJ,2019,31
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Industry,EJ,2020,31
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Industry,EJ,2030,31
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Industry,EJ,2040,27
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Industry,EJ,2050,23
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Industry,EJ,2019,32
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Industry,EJ,2020,32
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Industry,EJ,2030,35
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Industry,EJ,2040,34
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Industry,EJ,2050,28
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Industry,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Industry,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Industry,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Industry,EJ,2040,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Industry,EJ,2050,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Industry,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Industry,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Industry,EJ,2030,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Industry,EJ,2040,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Industry,EJ,2050,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Industry,EJ,2019,32
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Industry,EJ,2020,32
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Industry,EJ,2030,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Industry,EJ,2040,22
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Industry,EJ,2050,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Industry,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Industry,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Industry,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Industry,EJ,2040,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Industry,EJ,2050,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Industry,EJ,2019,58
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Industry,EJ,2020,52
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Industry,EJ,2030,51
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Industry,EJ,2040,40
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Industry,EJ,2050,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Industry,EJ,2019,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Industry,EJ,2020,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Industry,EJ,2030,15
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Industry,EJ,2040,19
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Industry,EJ,2050,20
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Industry,EJ,2019,48
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Industry,EJ,2020,44
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Industry,EJ,2030,35
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Industry,EJ,2040,15
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Industry,EJ,2050,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Industry,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Industry,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Industry,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Industry,EJ,2040,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Industry,EJ,2050,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Industry,EJ,2019,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Industry,EJ,2020,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Industry,EJ,2030,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Industry,EJ,2040,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Industry,EJ,2050,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Industry,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Industry,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Industry,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Industry,EJ,2040,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Industry,EJ,2050,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Iron and steel,EJ,2019,36
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Iron and steel,EJ,2020,33
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Iron and steel,EJ,2030,37
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Iron and steel,EJ,2040,36
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Iron and steel,EJ,2050,32
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Chemical and petrochemical,EJ,2019,22
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Chemical and petrochemical,EJ,2020,20
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Chemical and petrochemical,EJ,2030,26
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Chemical and petrochemical,EJ,2040,26
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Chemical and petrochemical,EJ,2050,25
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Cement,EJ,2019,12
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Cement,EJ,2020,16
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Cement,EJ,2030,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Cement,EJ,2040,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Cement,EJ,2050,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Transport,EJ,2019,122
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Transport,EJ,2020,105
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Transport,EJ,2030,102
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Transport,EJ,2040,85
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Transport,EJ,2050,80
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Transport,EJ,2019,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Transport,EJ,2020,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Transport,EJ,2030,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Transport,EJ,2040,22
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Transport,EJ,2050,35
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Transport,EJ,2019,115
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Transport,EJ,2020,99
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Transport,EJ,2030,89
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Transport,EJ,2040,53
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Transport,EJ,2050,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Transport,EJ,2019,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Transport,EJ,2020,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Transport,EJ,2030,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Transport,EJ,2040,12
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Transport,EJ,2050,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Transport,EJ,2019,111
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Transport,EJ,2020,96
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Transport,EJ,2030,76
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Transport,EJ,2040,35
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Transport,EJ,2050,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Transport,EJ,2019,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Transport,EJ,2020,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Transport,EJ,2030,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Transport,EJ,2040,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Transport,EJ,2050,15
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Transport,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Transport,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Transport,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Transport,EJ,2040,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Transport,EJ,2050,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Transport,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Transport,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Transport,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Transport,EJ,2040,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Transport,EJ,2050,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Transport,EJ,2019,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Transport,EJ,2020,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Transport,EJ,2030,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Transport,EJ,2040,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Transport,EJ,2050,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Road,EJ,2019,90
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Road,EJ,2020,81
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Road,EJ,2030,73
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Road,EJ,2040,57
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Road,EJ,2050,50
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Passenger cars,EJ,2019,47
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Passenger cars,EJ,2020,41
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Passenger cars,EJ,2030,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Passenger cars,EJ,2040,19
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Passenger cars,EJ,2050,17
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Trucks,EJ,2019,27
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Trucks,EJ,2020,25
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Trucks,EJ,2030,28
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Trucks,EJ,2040,24
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Trucks,EJ,2050,22
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total aviation (domestic and bunkers),EJ,2019,14
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total aviation (domestic and bunkers),EJ,2020,8
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total aviation (domestic and bunkers),EJ,2030,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total aviation (domestic and bunkers),EJ,2040,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total aviation (domestic and bunkers),EJ,2050,14
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total navigation (domestic and bunkers),EJ,2019,12
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total navigation (domestic and bunkers),EJ,2020,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total navigation (domestic and bunkers),EJ,2030,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total navigation (domestic and bunkers),EJ,2040,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Total navigation (domestic and bunkers),EJ,2050,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Buildings,EJ,2019,129
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Buildings,EJ,2020,127
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Buildings,EJ,2030,99
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Buildings,EJ,2040,89
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Buildings,EJ,2050,86
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Buildings,EJ,2019,43
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Buildings,EJ,2020,42
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Buildings,EJ,2030,45
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Buildings,EJ,2040,51
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Electricity,Buildings,EJ,2050,57
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Buildings,EJ,2019,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Buildings,EJ,2020,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Buildings,EJ,2030,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Buildings,EJ,2040,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid fuels,Buildings,EJ,2050,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Buildings,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Buildings,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Buildings,EJ,2030,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Buildings,EJ,2040,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Liquid biofuels,Buildings,EJ,2050,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Buildings,EJ,2019,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Buildings,EJ,2020,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Buildings,EJ,2030,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Buildings,EJ,2040,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Buildings,EJ,2050,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Buildings,EJ,2019,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Buildings,EJ,2020,28
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Buildings,EJ,2030,23
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Buildings,EJ,2040,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Gaseous fuels,Buildings,EJ,2050,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Buildings,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Buildings,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Buildings,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Buildings,EJ,2040,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Biomethane,Buildings,EJ,2050,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Buildings,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Buildings,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Buildings,EJ,2030,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Buildings,EJ,2040,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Buildings,EJ,2050,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Buildings,EJ,2019,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Buildings,EJ,2020,28
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Buildings,EJ,2030,19
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Buildings,EJ,2040,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Buildings,EJ,2050,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Buildings,EJ,2019,34
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Buildings,EJ,2020,34
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Buildings,EJ,2030,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Buildings,EJ,2040,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Buildings,EJ,2050,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Buildings,EJ,2019,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Buildings,EJ,2020,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Buildings,EJ,2030,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Buildings,EJ,2040,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Modern solid biomass,Buildings,EJ,2050,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Traditional use of biomass,Buildings,EJ,2019,25
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Traditional use of biomass,Buildings,EJ,2020,25
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Traditional use of biomass,Buildings,EJ,2030,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Traditional use of biomass,Buildings,EJ,2040,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Traditional use of biomass,Buildings,EJ,2050,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Buildings,EJ,2019,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Buildings,EJ,2020,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Buildings,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Buildings,EJ,2040,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Buildings,EJ,2050,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Buildings,EJ,2019,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Buildings,EJ,2020,7
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Buildings,EJ,2030,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Buildings,EJ,2040,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Buildings,EJ,2050,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Buildings,EJ,2019,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Buildings,EJ,2020,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Buildings,EJ,2030,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Buildings,EJ,2040,8
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Buildings,EJ,2050,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Residential,EJ,2019,91
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Residential,EJ,2020,90
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Residential,EJ,2030,67
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Residential,EJ,2040,59
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Residential,EJ,2050,58
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Services,EJ,2019,38
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Services,EJ,2020,36
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Services,EJ,2030,32
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Services,EJ,2040,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Services,EJ,2050,28
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other,EJ,2019,22
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other,EJ,2020,23
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other,EJ,2030,22
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other,EJ,2040,20
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Other,EJ,2050,18
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Electricity generation,TWh,2019,26922
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Electricity generation,TWh,2020,26778
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Electricity generation,TWh,2030,37316
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Electricity generation,TWh,2040,56553
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Electricity generation,TWh,2050,71164
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Electricity generation,TWh,2019,7153
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Electricity generation,TWh,2020,7660
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Electricity generation,TWh,2030,22817
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Electricity generation,TWh,2040,47521
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Electricity generation,TWh,2050,62333
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Electricity generation,TWh,2019,665
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Electricity generation,TWh,2020,821
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Electricity generation,TWh,2030,6970
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Electricity generation,TWh,2040,17031
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Electricity generation,TWh,2050,23468
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Electricity generation,TWh,2019,1423
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Electricity generation,TWh,2020,1592
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Electricity generation,TWh,2030,8008
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Electricity generation,TWh,2040,18787
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Electricity generation,TWh,2050,24785
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Electricity generation,TWh,2019,4294
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Electricity generation,TWh,2020,4418
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Electricity generation,TWh,2030,5870
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Electricity generation,TWh,2040,7445
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Electricity generation,TWh,2050,8461
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Electricity generation,TWh,2019,665
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Electricity generation,TWh,2020,718
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Electricity generation,TWh,2030,1407
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Electricity generation,TWh,2040,2676
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Electricity generation,TWh,2050,3279
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy with CCUS,Electricity generation,TWh,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy with CCUS,Electricity generation,TWh,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy with CCUS,Electricity generation,TWh,2030,129
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy with CCUS,Electricity generation,TWh,2040,673
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy with CCUS,Electricity generation,TWh,2050,842
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Concentrating solar power,Electricity generation,TWh,2019,14
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Concentrating solar power,Electricity generation,TWh,2020,14
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Concentrating solar power,Electricity generation,TWh,2030,204
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Concentrating solar power,Electricity generation,TWh,2040,880
