Publication,Scenario,Category,Product,Flow,Unit,Year,Value
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Nuclear,Total energy supply,EJ,2040,54
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Nuclear,Total energy supply,EJ,2050,61
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Total energy supply,EJ,2019,139
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Total energy supply,EJ,2020,136
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Total energy supply,EJ,2030,116
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Total energy supply,EJ,2040,44
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Total energy supply,EJ,2050,17
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Total energy supply,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Total energy supply,EJ,2020,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Total energy supply,EJ,2030,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Total energy supply,EJ,2040,31
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Total energy supply,EJ,2050,43
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total energy supply,EJ,2019,190
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total energy supply,EJ,2020,173
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total energy supply,EJ,2030,137
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total energy supply,EJ,2040,79
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Total energy supply,EJ,2050,42
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Non-energy use,EJ,2019,28
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Non-energy use,EJ,2020,27
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Non-energy use,EJ,2030,32
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Non-energy use,EJ,2040,31
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Non-energy use,EJ,2050,29
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Total energy supply,EJ,2019,160
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Total energy supply,EJ,2020,154
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Total energy supply,EJ,2030,68
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Total energy supply,EJ,2040,16
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Total energy supply,EJ,2050,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Total energy supply,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Total energy supply,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Total energy supply,EJ,2030,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Total energy supply,EJ,2040,16
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Total energy supply,EJ,2050,14
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Power sector inputs,EJ,2019,233
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Power sector inputs,EJ,2020,230
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Power sector inputs,EJ,2030,240
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Power sector inputs,EJ,2040,308
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Total,Power sector inputs,EJ,2050,371
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Power sector inputs,EJ,2019,36
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Power sector inputs,EJ,2020,38
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Power sector inputs,EJ,2030,107
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Power sector inputs,EJ,2040,220
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Renewables,Power sector inputs,EJ,2050,284
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Power sector inputs,EJ,2019,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Power sector inputs,EJ,2020,3
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Power sector inputs,EJ,2030,25
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Power sector inputs,EJ,2040,61
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solar PV,Power sector inputs,EJ,2050,84
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Power sector inputs,EJ,2019,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Power sector inputs,EJ,2020,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Power sector inputs,EJ,2030,29
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Power sector inputs,EJ,2040,67
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Wind,Power sector inputs,EJ,2050,89
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Power sector inputs,EJ,2019,15
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Power sector inputs,EJ,2020,16
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Power sector inputs,EJ,2030,21
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Power sector inputs,EJ,2040,27
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydro,Power sector inputs,EJ,2050,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Power sector inputs,EJ,2019,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Power sector inputs,EJ,2020,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Power sector inputs,EJ,2030,18
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Power sector inputs,EJ,2040,35
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Bioenergy and waste,Power sector inputs,EJ,2050,39
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other renewables,Power sector inputs,EJ,2019,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other renewables,Power sector inputs,EJ,2020,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other renewables,Power sector inputs,EJ,2030,14
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other renewables,Power sector inputs,EJ,2040,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other renewables,Power sector inputs,EJ,2050,42
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Power sector inputs,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Power sector inputs,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Power sector inputs,EJ,2030,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Power sector inputs,EJ,2040,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Power sector inputs,EJ,2050,11
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Power sector inputs,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Power sector inputs,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Power sector inputs,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Power sector inputs,EJ,2040,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Ammonia,Power sector inputs,EJ,2050,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Nuclear,Power sector inputs,EJ,2019,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Nuclear,Power sector inputs,EJ,2020,29
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Nuclear,Power sector inputs,EJ,2030,41
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Nuclear,Power sector inputs,EJ,2040,54
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Nuclear,Power sector inputs,EJ,2050,61
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Power sector inputs,EJ,2019,56
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Power sector inputs,EJ,2020,55
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Power sector inputs,EJ,2030,49
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Power sector inputs,EJ,2040,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated natural gas,Power sector inputs,EJ,2050,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Power sector inputs,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Power sector inputs,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Power sector inputs,EJ,2030,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Power sector inputs,EJ,2040,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas with CCUS,Power sector inputs,EJ,2050,5
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Power sector inputs,EJ,2019,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Power sector inputs,EJ,2020,8
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Power sector inputs,EJ,2030,2
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Power sector inputs,EJ,2040,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Oil products,Power sector inputs,EJ,2050,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Power sector inputs,EJ,2019,102
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Power sector inputs,EJ,2020,100
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Power sector inputs,EJ,2030,30
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Power sector inputs,EJ,2040,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Unabated coal,Power sector inputs,EJ,2050,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Power sector inputs,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal with CCUS,Power sector inputs,EJ,2020,0
